galaxies.bgg.bulge.profile_list.59.centre.centre_0,galaxies.bgg.bulge.profile_list.59.centre.centre_1,galaxies.bgg.bulge.profile_list.29.ell_comps.ell_comps_0,galaxies.bgg.bulge.profile_list.29.ell_comps.ell_comps_1,galaxies.bgg.bulge.profile_list.59.ell_comps.ell_comps_0,galaxies.bgg.bulge.profile_list.59.ell_comps.ell_comps_1,extra_galaxies.0.bulge.profile_list.9.centre.centre_0,extra_galaxies.0.bulge.profile_list.9.centre.centre_1,extra_galaxies.0.bulge.profile_list.9.ell_comps.ell_comps_0,extra_galaxies.0.bulge.profile_list.9.ell_comps.ell_comps_1,extra_galaxies.1.bulge.profile_list.9.centre.centre_0,extra_galaxies.1.bulge.profile_list.9.centre.centre_1,extra_galaxies.1.bulge.profile_list.9.ell_comps.ell_comps_0,extra_galaxies.1.bulge.profile_list.9.ell_comps.ell_comps_1,extra_galaxies.2.bulge.profile_list.9.centre.centre_0,extra_galaxies.2.bulge.profile_list.9.centre.centre_1,extra_galaxies.2.bulge.profile_list.9.ell_comps.ell_comps_0,extra_galaxies.2.bulge.profile_list.9.ell_comps.ell_comps_1,     log_likelihood,              log_prior,      log_posterior,                weight
                            -0.0007006944814366775,                            -0.0009758552280969233,                                    -0.07729788949226758,                                      0.5188407640718885,                                     0.07842451189752635,                                    -0.03282512196178107,                                   1.8042958495429176,                                   0.6843387536164602,                                       -0.19981782587450697,                                       -0.12300495376594262,                                  -1.4945239917486521,                                  -1.2376976996460196,                                       0.046420033312263964,                                        0.05123651492569359,                                   0.4821332545902035,                                  -2.0024782357013535,                                         0.0501205903285028,                                        -0.1984417042783605,-189103.60867565987,   -0.01698250264260449,-189103.62565816252,1.5397097645461917e-10
                            -0.0008656046815939248,                            -0.0012271573785228472,                                    -0.08445301825994228,                                      0.5299149009174265,                                     0.07812353184581426,                                    -0.03074902225675685,                                   1.8074242201593536,                                   0.6852212750722664,                                       -0.19978943486203712,                                       -0.13181298902049782,                                  -1.4929419057995081,                                   -1.237121075707769,                                       0.052440075097799965,                                        0.05095673750314467,                                   0.4816613452216092,                                  -2.0026985647065723,                                        0.07022375830578642,                                       -0.19420806078193067,-189103.33941354093,   -0.08583442821700378,-189103.42524796916, 2.015477324629518e-10
                            -0.0007262181125679549,                            -0.0011725164834443713,                                    -0.08135282471848494,                                      0.5131559725560817,                                     0.07791280357076394,                                   -0.030911667246754232,                                   1.8043086706381706,                                   0.6859849993688352,                                       -0.19970315201591565,                                         -0.130421604584659,                                  -1.4941345291931412,                                  -1.2362329699756092,                                        0.05071044773228078,                                        0.05164915916055218,                                  0.48242695600379176,                                   -2.003542949864471,                                        0.06754487469138193,                                        -0.1899580042997431, -189103.1417986346,  -0.018072689713157918,-189103.15987132431,2.4558451517721455e-10
                             -0.000560002496216316,                            -0.0013304391030677042,                                    -0.08685466803816853,                                      0.5173667009360806,                                      0.0787747074116637,                                   -0.031560763185337064,                                   1.8060374782722703,                                   0.6860036831121923,                                        -0.1999630257512484,                                       -0.12758790702134354,                                   -1.493611843161854,                                  -1.2388506757831048,                                        0.05624253717080746,                                        0.04438688926973938,                                  0.47894997709918796,                                  -2.0034697443290317,                                        0.06620458177684785,                                       -0.18053469402584732, -189104.0027170687,   0.022558316405515363, -189103.9801587523,1.0382665308489183e-10
                             -0.000755861071919988,                            -0.0011475212602776582,                                    -0.09174988227610105,                                      0.5218019402244626,                                     0.07831918327488599,                                    -0.03225366045515779,                                   1.8069407742665708,                                   0.6848799115181524,                                       -0.19997329076795892,                                       -0.12601605857114956,                                   -1.494594250950897,                                  -1.2398914700105839,                                         0.0489045270246129,                                       0.059937242475464836,                                  0.48244342476357144,                                   -2.004571635023853,                                        0.04267959007453137,                                       -0.19800074520285837,-189103.55570155237,  -0.010031105138245922, -189103.5657326575,1.6234735842842812e-10
                            -0.0007079802552350435,                            -0.0010209514904472247,                                    -0.08271481611050609,                                      0.5174022170210744,                                      0.0789814815726262,                                    -0.03108813816884902,                                   1.8035680346570222,                                   0.6852269832280673,                                       -0.19970495082347858,                                       -0.13104658086741988,                                  -1.4939942266887634,                                   -1.236775991592352,                                       0.054871524755022105,                                        0.05807264980525073,                                  0.48055619000960104,                                   -2.004587097412125,                                          0.043829524106029,                                       -0.19498820486394458,-189103.71603847021,   -0.01768168037695117, -189103.7337201506,1.3829669066624468e-10
                            -0.0005390225495046159,                             -0.001032483644388014,                                    -0.07968236674546553,                                      0.5180306986418733,                                     0.07892693644857136,                                   -0.030427760405399396,                                   1.8050946291442336,                                   0.6863646844713225,                                       -0.19988463015003258,                                       -0.13194544048118076,                                  -1.4940027478019142,                                  -1.2370828421396556,                                        0.05200463585901349,                                         0.0519189824463866,                                  0.48322808307220727,                                   -2.004410249576129,                                       0.047364394922324665,                                       -0.19841175003745531, -189103.6583310584,   -0.03730296672487031,-189103.69563402512,  1.46512202945284e-10
                            -0.0006514182093863783,                            -0.0011596905466725515,                                     -0.0832676022495596,                                      0.5176519535326428,                                     0.07812528878402265,                                    -0.03194130588241384,                                   1.8028148003549598,                                   0.6851692335420979,                                        -0.1999481705741201,                                        -0.1299671992114323,                                  -1.4955321989299466,                                   -1.235848338751961,                                        0.05467169239089198,                                       0.055911548284569734,                                  0.48177468008860536,                                  -2.0029956173100603,                                       0.048970152494762914,                                       -0.18768152954927522,-189103.82282177795,   -0.04804251713769886,-189103.87086429508,  1.24290056828745e-10
                            -0.0005976675978607455,                             -0.001161596287343656,                                    -0.07547779081242058,                                      0.5217876049531738,                                     0.07774069608264533,                                    -0.03211865262460456,                                    1.806689539401544,                                   0.6868691906715678,                                       -0.19966393545415947,                                       -0.12566440453394362,                                  -1.4939338851891582,                                   -1.237995444898222,                                        0.05162569400545591,                                       0.051839120864929256,                                   0.4780782913354509,                                  -2.0033044639978366,                                       0.037536475143004566,                                       -0.19633024277727446,-189103.05005146505,  -0.001792148352912532,-189103.05184361342,2.6918215723991864e-10
                            -0.0009089473589824779,                            -0.0013642870906134667,                                    -0.08918686190080904,                                      0.5282202370303761,                                     0.07791921779737798,                                   -0.030143710364941217,                                   1.8045858145276743,                                   0.6830059848978005,                                        -0.1996188409085975,                                       -0.13500133941274217,                                  -1.4943358103674242,                                  -1.2376414558751505,                                        0.05402826611562245,                                        0.05658410613152853,                                     0.48165260217097,                                  -2.0037775939958293,                                        0.05523057519785546,                                       -0.19714996360433262,-189103.86118851072,   -0.06701522901369762,-189103.92820373975,1.1961177253206062e-10
                            -0.0005941942805346415,                            -0.0012452549971049668,                                    -0.08355293499721932,                                      0.5232961651494143,                                     0.07913926230769558,                                     -0.0320611363023707,                                   1.8053592143731902,                                   0.6852400000401578,                                       -0.19915498371065515,                                       -0.13350680569632373,                                  -1.4945525537964228,                                   -1.238724980008719,                                        0.05225218791068592,                                        0.04871990969479478,                                  0.48109053462990886,                                  -2.0014910924460083,                                        0.04775063141122343,                                       -0.19467430567178243, -189103.6322725077,  -0.029530621054811645,-189103.66180312875,1.5038027794525703e-10
                            -0.0008051368805456291,                            -0.0013741256408106542,                                    -0.07761563733923886,                                      0.5194469698235259,                                     0.07806883853699444,                                     -0.0323705593078174,                                    1.804290487483386,                                   0.6850801168941476,                                        -0.1999182183451088,                                        -0.1345872668796577,                                  -1.4943937467087647,                                  -1.2372002630880476,                                        0.05128377208117518,                                        0.05377824324108521,                                   0.4826048910693213,                                   -2.004114905748747,                                       0.022939659518277367,                                       -0.18248730812803513,-189103.27899977492,   -0.03293447910111907,-189103.31193425402,2.1409931689842527e-10
                            -0.0007312849756133857,                            -0.0012010645732314904,                                    -0.08801003219499066,                                      0.5263401635176118,                                     0.07910310467466006,                                   -0.031747366872703506,                                   1.8062440756237002,                                   0.6861000978656294,                                        -0.1993535210608869,                                       -0.12563116913285152,                                  -1.4944713043594484,                                  -1.2378112669554444,                                        0.05646222258054673,                                        0.04620265504703153,                                   0.4824557739003988,                                  -2.0018121418986556,                                        0.03648163694298873,                                       -0.19960300107650072, -189103.9203547056,   -0.07779775133350167,-189103.99815245692, 1.127400892551865e-10
                            -0.0010684595796598387,                            -0.0015570653193962385,                                     -0.0822546578594326,                                      0.5192726319216979,                                     0.07802391210174808,                                   -0.032687440550176396,                                   1.8062337868492235,                                   0.6851643288635996,                                       -0.19996703510837074,                                       -0.12687652284016032,                                   -1.493370393580606,                                  -1.2370459149179367,                                        0.05457310167920987,                                       0.051460657959633005,                                  0.48251860957414244,                                   -2.001952310062311,                                        0.04097912408340684,                                       -0.19996326212156415,-189103.80090301455,  -0.034139088860279734, -189103.8350421034,1.2704441698979338e-10
                            -0.0005960488487833694,                            -0.0010728428457618725,                                    -0.08508505799670532,                                      0.5299636659642472,                                      0.0777785266481204,                                    -0.03146569527075954,                                   1.8042291411171127,                                    0.684467652771558,                                       -0.19949479781057392,                                       -0.13437226560001395,                                  -1.4954061132986343,                                  -1.2387788603870458,                                       0.051490055545373115,                                       0.056768006070316734,                                   0.4804937343309365,                                  -2.0026172714046324,                                        0.05227507539036991,                                       -0.19495622008714486,-189103.83518621765,   -0.06151983971983942,-189103.89670605736,1.2276274157290604e-10
                            -0.0006685684585264034,                            -0.0014287560677975326,                                    -0.08985671504124593,                                      0.5237206685027944,                                     0.07838196385371739,                                    -0.03311701493377076,                                   1.8057421491519032,                                   0.6841178071037943,                                       -0.19980298264418747,                                       -0.13293243297757978,                                  -1.4939417340283514,                                  -1.2376856151560236,                                       0.050648214135114666,                                       0.048559621127711006,                                   0.4803069560011918,                                   -2.003288036025193,                                        0.05907722311579905,                                       -0.18962887419918095, -189103.6760023336,   -0.03665894246011774,-189103.71266127608, 1.439458873022094e-10
                            -0.0008373688540289523,                            -0.0011132735566383178,                                    -0.08646456187003719,                                      0.5150034059182026,                                     0.07865548319353995,                                    -0.03129311574210616,                                   1.8072168807182831,                                   0.6845581579654155,                                        -0.1998323395769315,                                       -0.12215557386804181,                                   -1.495085126765837,                                  -1.2375100573874005,                                       0.059091099499318234,                                        0.05283105367348456,                                   0.4813102569494866,                                  -2.0035528317235167,                                       0.053695434067735914,                                        -0.1879403579682433,-189103.38183739505,  0.0058473077574423835,-189103.37599008728,  1.93176134147272e-10
