galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.lens.mass.einstein_radius,galaxies.source.pixelization.regularization.coefficient,    log_likelihood,         log_prior,     log_posterior,                weight
             0.0005459064989642513,               0.00823645738012741,                    -0.05788999895827891,                     0.01818415798972058,       0.058009845399009385,       -0.05188876825450517,                 1.599671161896645,                                     0.4425341834100678, 6596.357231043867, 2.814449737417667,6599.1716807812845,1.0960824899131369e-09
             0.0006073616407585155,            -0.0064313702174667855,                   -0.053622737817502444,                    -0.01958727050414738,       0.039581149764607804,      -0.050422566223480514,                1.6050676722910948,                                  0.0010735239852759438, 6594.554773854886, 932.0673241369609, 7526.622097991847, 1.807365670100969e-10
            -0.0024860401888991725,              -0.00837661309688161,                    -0.05739852874090702,                   -0.002268562560789306,        0.04854343766019331,      -0.051005750951753026,                1.5982196926403311,                                  2.679203953053543e-06, 6596.503767204974, 373245.7515610455,379842.25532825047,1.2690627188137751e-09
            -0.0013052039744835436,             -0.000583986965316233,                    -0.04166915168996873,                   -0.040570637605430754,        0.03514265723544918,      -0.047676462417029164,                1.6024928412702049,                                   0.003882817787493387, 6598.438626438942,258.09801813650785,  6856.53664457545, 8.785809343539047e-09
             -0.004973226572637039,             -0.001726910312351962,                   -0.038973480020133476,                    0.007272149361362246,       0.053049248472869404,       -0.04238215935899459,                1.5966267990588245,                                    0.23943130929217118, 6598.479241502894, 4.741002187228647,6603.2202436901225,  9.14999112407358e-09
             -0.010956968106951327,              0.005115544500767514,                    -0.03856622518264826,                   -0.011357409881077524,       0.047084762374719646,      -0.043021178447064434,                 1.598299956559544,                                    0.00150960323474879, 6594.586657059743, 662.9958306053142, 7257.582487665057,1.8659187498923929e-10
             -0.007377659607609867,              -0.00810040036805884,                   -0.046362173206950186,                    0.009380876869712194,        0.05592925686493633,      -0.047732125673219994,                1.6003545826283865,                                  0.0026834379869465044, 6598.301648409213,373.22163090606256, 6971.523279315275, 7.661132475346199e-09
             -0.005361722852921028,             -0.004029070394757135,                    -0.03795712515150782,                    0.008050719283469492,       0.055671435911980593,       -0.04185149076603156,                1.5959104081176247,                                   0.006964353639759952, 6595.975301859314,144.15401350142184, 6740.129315360736, 7.481238541201119e-10
             0.0008836046401954388,           -0.00045395710989564337,                    -0.02505301346477891,                   -0.014677381672949626,        0.04191441353397546,       -0.03580658416230337,                1.6003142586798988,                                   0.008913266902614368,6594.4165032682195,112.75946070260632, 6707.175963970826,1.5739679183734197e-10
             -0.007547551237617043,              0.003145710891511832,                    -0.05014997931792781,                   -0.019846713565239947,       0.040901127302536866,      -0.050168464768970134,                 1.604551968751469,                                  1.857768347422102e-05,6597.1739910769875, 53828.58340315872, 60425.75739423571, 2.480605003212909e-09
             -0.001159246638808911,            -0.0032524878836134503,                     -0.0509153843134647,                    -0.03626142948908859,       0.031323869317242015,       -0.04904662011269739,                1.6037474230622717,                                    0.27510939617926966, 6595.125543988271, 4.185592255032976, 6599.311136243304, 3.198367385591852e-10
