galaxies.bgg.mass.einstein_radius,galaxies.bgg.mass.slope,galaxies.bgg.mass.ell_comps.ell_comps_0,galaxies.bgg.mass.ell_comps.ell_comps_1,extra_galaxies.0.mass.einstein_radius,extra_galaxies.1.mass.einstein_radius,extra_galaxies.2.mass.einstein_radius,    log_likelihood,           log_prior,     log_posterior,                weight
               1.1908418323855106,     1.9883999351204993,                   0.011768159011440899,                    0.21627062144816925,                  0.46490303852656334,                   0.7015985083335704,                  0.28206200850323376, 7514.050005410776,0.034790399379314836, 7514.084795810156,3.7161054005892545e-10
                1.182164446073985,     1.9889261657588433,                   0.011670167363620622,                     0.2181234033744942,                   0.4677608570932892,                    0.706873169386892,                   0.2842758964210024, 7513.887258784009,0.021920009455889067, 7513.909178793465, 3.157970447382307e-10
               1.1926743637707187,     1.9927130181140125,                   0.012269713076372707,                     0.2173865061081848,                   0.4649677373527181,                   0.7036770015225178,                   0.2828257851569511, 7513.229331974602, 0.03052084043950909, 7513.259852815042, 1.635588614395481e-10
               1.1800413398164877,      1.988445386887987,                   0.011224003472906238,                    0.21857854819347136,                  0.46903486728567745,                   0.7074438053895189,                   0.2847912785243341, 7514.295971421008,0.021258032788170074, 7514.317229453796, 4.752364077553117e-10
               1.1883683885431031,      1.990087078123269,                   0.011804253808362539,                    0.21688927448728829,                  0.46616008132271325,                   0.7039123253761733,                   0.2831479040237224, 7517.308963107607,0.028138448530645583, 7517.337101556138, 9.670198033106261e-09
                1.188717952197571,     1.9848165505163204,                   0.011580454526424902,                    0.21445151519944144,                  0.46438086617445695,                   0.6998665926200766,                   0.2816851520382563, 7513.318802076326,  0.0410181876150862, 7513.359820263941,1.7886709357808623e-10
                1.180152033656705,     1.9870188994542888,                   0.009898134120182069,                      0.217770931288979,                   0.4696148306241229,                   0.7060575730333574,                   0.2838512286726441,  7512.82561499298,0.023814802008007743, 7512.849429794988,1.0923002205100816e-10
               1.1819686953910846,     1.9911740003568608,                    0.01387109448413919,                    0.22014404558148867,                   0.4676463545366379,                    0.711482306930414,                  0.28402556911762156, 7514.380641200238, 0.01434727082725671, 7514.394988471065, 5.172271604843411e-10
               1.1965823819160377,     1.9893165183677881,                   0.011208153825843354,                     0.2142224880359445,                   0.4629717313339583,                   0.6977031569575272,                  0.28108036841829737, 7515.863474343983, 0.05226072541682949,   7515.9157350694, 2.278597278148757e-09
               1.1810095473584092,       1.98743538883716,                   0.012878122611515542,                    0.21969852630487205,                  0.46716982166802057,                     0.70878880173134,                  0.28395759116900393, 7513.818962543017,0.018397685643384922,  7513.83736022866,2.9494930755252485e-10
               1.1912416775710786,     1.9942774320539454,                   0.011150454346442372,                    0.21916791072500455,                   0.4669529470067658,                   0.7054244256011806,                   0.2835729250241359, 7517.769533113358,0.023377115908990245, 7517.792910229267, 1.532704314727166e-08
               1.1941096441095012,     1.9881559409370824,                    0.01058737766950802,                    0.21416527196463853,                   0.4639227673417284,                   0.6979111924220747,                  0.28144381439409877, 7513.337892443793,  0.0488403168944864, 7513.386732760688,1.8231453387446824e-10
                1.188928668366282,      1.990393449080316,                   0.011338817804184902,                    0.21821313308312565,                   0.4663001157992396,                   0.7046125546191571,                   0.2828952836301946, 7513.466142004101, 0.02518042362922562, 7513.491322427731,2.0726184878756546e-10
               1.1811357009643255,     1.9830961367870144,                   0.011559174880683644,                     0.2161190221795166,                   0.4664404361627611,                   0.7036662549677065,                   0.2828321022627888, 7514.311401846142,0.030898681243046122, 7514.342300527385, 4.826263761152471e-10
               1.1758431904102487,     1.9821532996268807,                    0.01186697277219425,                    0.21659308014422807,                   0.4675896520333478,                   0.7065039024562028,                   0.2835138596642368, 7514.408500052792,0.029437163405771762,7514.4379372161975, 5.318391066781788e-10
                 1.18502512666254,     1.9810783242106262,                   0.009348150038498527,                    0.21296390308291266,                   0.4654706258430195,                   0.6976572516893035,                    0.281577104572936, 7513.361155902348,0.048025345783282734, 7513.409181248132, 1.866055185316279e-10
                1.190087943559279,     1.9871455130299314,                    0.01044585580075625,                     0.2138565007399103,                  0.46507317447122215,                   0.6988258492465215,                  0.28207137748424194, 7512.830964984001, 0.04407501368027931, 7512.875039997682,1.0981596769255953e-10
                1.177164344051347,     1.9801045509792616,                   0.010858681046420135,                    0.21561488276847934,                  0.46635964392570395,                   0.7035743603777177,                   0.2830119075657967, 7512.790061421125, 0.03520484126098427, 7512.825266262385,1.0541473012792119e-10
               1.1876588765687013,      1.982471192093677,                    0.01040075128542206,                     0.2135496195321103,                   0.4640911057491522,                   0.6981128430331417,                   0.2813649736381674, 7515.226409739444,0.046766131886119194,  7515.27317587133,1.2050191033428428e-09
               1.1804309981717138,      1.983192838134351,                    0.01062431429444351,                     0.2158715836204328,                   0.4669443867856717,                   0.7032834559261897,                  0.28314159793849714, 7513.557003792601,0.032165945211742625, 7513.589169737813,2.2697610607345006e-10
               1.1837994366431634,     1.9908598154991048,                   0.013023352735356146,                    0.21965549492474643,                  0.46747007042814503,                   0.7086644092922872,                   0.2845173323163561, 7514.193956484603, 0.01744861143514047, 7514.211405096038,  4.29146110284078e-10
