galaxies.lens.mass.einstein_radius,galaxies.source.bulge.ell_comps.ell_comps_0,galaxies.source.bulge.ell_comps.ell_comps_1,galaxies.source.bulge.intensity,galaxies.source.bulge.centre.centre_0,galaxies.source.bulge.centre.centre_1,galaxies.source.bulge.effective_radius,     log_likelihood,         log_prior,      log_posterior,                weight
                1.6133233949118484,                       -0.11353320537306517,                         0.1816617843435826,             1.7430169081598754,              -3.7037532860106914e-08,               -8.251368414924354e-09,                   0.11772126472597338, -6980.325596584484, 5.431296414939556, -6974.894300169544,1.2774517954690082e-08
                1.6133234644268155,                       -0.11849547960997511,                         0.1897522997927405,             1.6899049836332805,                3.053206872050129e-08,                4.027390788918783e-09,                   0.12433737210452697,  -6979.91937525594, 5.370586515095729, -6974.548788740844, 1.917627293972291e-08
                1.6133233814418066,                       -0.10986670785919081,                        0.17715072793801576,             1.7452451368662047,              -5.0684716770832416e-08,               -7.912128716092148e-09,                   0.11732697826813274, -6982.679868365565, 5.446870084471119, -6977.232998281094,1.2131018851753266e-09
                1.6133234844330706,                       -0.10902051413193448,                        0.19387127196234596,             1.7134645409457718,               5.1368029260756565e-08,                8.882515070696151e-09,                   0.12296835546998357, -6981.523449000853,5.3786009389745555, -6976.144848061879, 3.855882813204968e-09
                1.6133234699168868,                       -0.11581211359551663,                        0.18922505756893798,             1.7182374348539033,               3.5236535841920436e-08,                5.658545715325758e-09,                   0.12259498555373517, -6984.568631986091, 5.381787050888528, -6979.186844935202,1.8349222192471804e-10
                1.6133234545114226,                       -0.10870920076231147,                         0.1733476294975609,             1.7226031207768597,               2.0319706112159608e-08,               3.2046939060781376e-09,                    0.1190121743459122, -6981.139540335491, 5.450967219130842,  -6975.68857311636, 5.660479754389556e-09
                1.6133234012814235,                       -0.11542827523493362,                        0.18091397025245282,             1.6948787480724063,               -3.119243313642883e-08,               -4.159457063501737e-09,                   0.12474238305914537,  -6982.05054974722,  5.38705868149435, -6976.663491065726,2.2761814565283666e-09
                1.6133233902306015,                       -0.11684043087735155,                        0.21403025271577894,             1.7026086254991377,               -4.222527377750751e-08,               -6.590743194256898e-09,                   0.12081244265178828, -6981.304138295858,   5.3457013927374, -6975.958436903121, 4.801415117045925e-09
                1.6133233861724716,                       -0.13479541569677342,                        0.19266494262270645,             1.7045072650024229,                -4.68751620852359e-08,               -8.066088359737211e-09,                    0.1240195635807719,-6984.8649346854145,  5.33946319301203, -6979.525471492402,1.3643790189512109e-10
                1.6133234581711207,                        -0.1227641407580955,                        0.18643797283556346,             1.7196787589187457,                2.464720998129888e-08,                2.673503265993027e-09,                   0.11906917758250715, -6981.077374374738, 5.407281202444747, -6975.670093172293,6.0235368995381324e-09
